Id,nFORCE__Feature_Translation__c,nFORCE__Translation_Key__c,nFORCE__Original_Text__c,nFORCE__Translated_Text__c,proposed_spanish,tracker_id,notes
a4AAU000003Qou52AC,Route_Names,es:Route_Names:nDaZHoLkcgV7DCpkXTAl0w==,Document Preparation,,,,
a4AAU000003Qou32AC,Route_Names,es:Route_Names:8oEos477xhNNxAdR7iH9KQ==,Documents,,,,
a4AAU000003Qovw2AC,Route_Names,es:Route_Names:V6R+j8MYQdaWo9bj7PtRCw==,Draws & Disbursements,,,,
a4AAU000003Qosz2AC,Route_Names,es:Route_Names:8mxtYG46VBtw2s/TuCm7Ag==,E-Signature,,,,
a4AAU000003QovY2AS,Route_Names,es:Route_Names:EYPzc9ot8LiBuyIBmH+6ww==,Edit Memo,,,,
a4AAU000003Qovk2AC,Route_Names,es:Route_Names:VU8h1F86g21VqQmCtSiKwQ==,Editable Fields,,,,
a4AAU000003QouK2AS,Route_Names,es:Route_Names:sTOHk+T7rsTb3AiiFRCMng==,Eligibility,,,,
a4AAU000003QotC2AS,Route_Names,es:Route_Names:UN0LuxmVMsVcLG4jNPkQMA==,Entity Compliance,,,,
a4AAU000003QosZ2AS,Route_Names,es:Route_Names:4QkQT4BjGdeF+7PPWoonfQ==,Existing Records,,,,
a4AAU000003Qosi2AC,Route_Names,es:Route_Names:PEnZEHx7JphL0R+L/47bIA==,Experience Designer,,,,
a4AAU000003Qouj2AC,Route_Names,es:Route_Names:p6L0Hs90lea5pih86OIhtQ==,Export Rule,,,,
a4AAU000003QovD2AS,Route_Names,es:Route_Names:3xDafF0fSlVQ1fQQy5SaXQ==,Exposure,,,,
a4AAU000003QowB2AS,Route_Names,es:Route_Names:oibkbzflWvkCsvFgimrKBg==,Facilities,,,,
a4AAU000003QowI2AS,Route_Names,es:Route_Names:pSzeCC2KLQebTJtAQY5zVQ==,Facility Information,,,,
a4AAU000003Qotp2AC,Route_Names,es:Route_Names:tbkIWBilBVmnTMljLxk5TA==,Feature Management,,,,
a4AAU000003Qou22AC,Route_Names,es:Route_Names:tWpjF5etVB6yCtPd91M5fA==,Fee Summary,,,,
a4AAU000003QotQ2AS,Route_Names,es:Route_Names:AGMA768GPhcF3WFOoK6eiw==,Fees,,,,
a4AAU000003Qou72AC,Route_Names,es:Route_Names:MJkofGSzk7iI4jfvCXt4Eg==,Fees Summary,,,,
a4AAU000003Qouv2AC,Route_Names,es:Route_Names:og3cy7b4COxCzWYyPmxgYQ==,Finish,,,,
a4AAU000003QouY2AS,Route_Names,es:Route_Names:AyzdOJEsEL3ewzOVi8ua6w==,Forms Gen,,,,
a4AAU000003QowT2AS,Route_Names,es:Route_Names:HI0tlVm2stfzk4AehVEr4g==,Frequency Template Builder,,,,
a4AAU000003Qov82AC,Route_Names,es:Route_Names:MrkZ0Yz6yok4P2AA3MnAMQ==,Generate,,,,
